User      	: DESKTOP-BLOIBBU
File Name 	: -----
Real Time 	: 600 Sec
Live Time 	: 596.976 Sec
Dead Time 	: 3.024 Sec
Date      	: 18-09-2025
-------------------------------------------------------------------------------------------------

Channel	Counts
0      	0
1      	0
2      	0
3      	0
4      	1190
5      	1356
6      	1399
7      	1582
8      	1711
9      	1804
10     	1828
11     	1773
12     	1798
13     	1863
14     	1725
15     	1764
16     	1851
17     	1944
18     	1884
19     	2039
20     	2068
21     	2218
22     	2378
23     	2444
24     	2421
25     	2346
26     	2203
27     	2179
28     	1992
29     	1970
30     	1938
31     	1789
32     	1939
33     	1857
34     	1855
35     	1874
36     	1940
37     	1892
38     	1904
39     	1977
40     	1924
41     	1969
42     	2036
43     	1968
44     	2022
45     	2039
46     	2000
47     	2029
48     	2042
49     	2023
50     	1996
51     	2056
52     	2121
53     	2055
54     	2102
55     	2039
56     	2048
57     	2042
58     	2115
59     	2228
60     	2269
61     	2401
62     	2479
63     	2459
64     	2594
65     	2759
66     	2907
67     	3088
68     	3162
69     	3187
70     	3308
71     	3398
72     	3250
73     	3219
74     	3172
75     	3211
76     	3135
77     	3101
78     	3087
79     	2909
80     	2877
81     	2824
82     	2697
83     	2756
84     	2688
85     	2622
86     	2571
87     	2496
88     	2427
89     	2361
90     	2277
91     	2191
92     	2277
93     	2273
94     	2129
95     	2063
96     	2081
97     	2181
98     	2085
99     	2013
100    	1976
101    	1967
102    	1874
103    	1884
104    	1803
105    	1791
106    	1846
107    	1801
108    	1788
109    	1733
110    	1745
111    	1713
112    	1794
113    	1744
114    	1698
115    	1795
116    	1697
117    	1682
118    	1675
119    	1760
120    	1629
121    	1642
122    	1613
123    	1680
124    	1562
125    	1655
126    	1596
127    	1669
128    	1596
129    	1613
130    	1617
131    	1622
132    	1671
133    	1599
134    	1474
135    	1599
136    	1597
137    	1593
138    	1511
139    	1548
140    	1584
141    	1587
142    	1503
143    	1497
144    	1570
145    	1515
146    	1566
147    	1533
148    	1546
149    	1524
150    	1518
151    	1496
152    	1543
153    	1574
154    	1562
155    	1619
156    	1497
157    	1603
158    	1528
159    	1485
160    	1546
161    	1448
162    	1483
163    	1501
164    	1523
165    	1450
166    	1486
167    	1441
168    	1459
169    	1495
170    	1480
171    	1460
172    	1491
173    	1446
174    	1527
175    	1448
176    	1537
177    	1491
178    	1558
179    	1488
180    	1477
181    	1453
182    	1512
183    	1458
184    	1491
185    	1531
186    	1532
187    	1509
188    	1504
189    	1444
190    	1487
191    	1543
192    	1509
193    	1485
194    	1506
195    	1470
196    	1480
197    	1450
198    	1505
199    	1492
200    	1493
201    	1505
202    	1540
203    	1495
204    	1536
205    	1550
206    	1478
207    	1502
208    	1509
209    	1542
210    	1573
211    	1494
212    	1585
213    	1548
214    	1532
215    	1589
216    	1550
217    	1560
218    	1556
219    	1519
220    	1532
221    	1519
222    	1580
223    	1579
224    	1583
225    	1511
226    	1579
227    	1599
228    	1577
229    	1559
230    	1522
231    	1653
232    	1550
233    	1662
234    	1590
235    	1539
236    	1636
237    	1597
238    	1642
239    	1641
240    	1629
241    	1631
242    	1664
243    	1609
244    	1692
245    	1752
246    	1703
247    	1723
248    	1693
249    	1665
250    	1733
251    	1780
252    	1797
253    	1796
254    	1754
255    	1881
256    	1779
257    	1781
258    	1797
259    	1830
260    	1921
261    	1890
262    	1817
263    	1911
264    	1799
265    	1873
266    	1844
267    	1919
268    	1884
269    	1890
270    	1789
271    	1913
272    	1858
273    	1881
274    	1950
275    	1886
276    	1883
277    	1823
278    	1790
279    	1748
280    	1776
281    	1774
282    	1740
