User      	: DESKTOP-BLOIBBU
File Name 	: -----
Real Time 	: 600 Sec
Live Time 	: 597.294 Sec
Dead Time 	: 2.706 Sec
Date      	: 18-09-2025
-------------------------------------------------------------------------------------------------

Channel	Counts
0      	0
1      	0
2      	0
3      	0
4      	10089
5      	13826
6      	16426
7      	20245
8      	21793
9      	20396
10     	16290
11     	10499
12     	6793
13     	5344
14     	4600
15     	4591
16     	4713
17     	4631
18     	4866
19     	5041
20     	5224
21     	5321
22     	5693
23     	5866
24     	6055
25     	5741
26     	5543
27     	5243
28     	5171
29     	4891
30     	4751
31     	4610
32     	4545
33     	4615
34     	4660
35     	4635
36     	4678
37     	4717
38     	4942
39     	4961
40     	4885
41     	4896
42     	4798
43     	4876
44     	4924
45     	5065
46     	5005
47     	5063
48     	5065
49     	5129
50     	5216
51     	5274
52     	5559
53     	5643
54     	5893
55     	6165
56     	6552
57     	7071
58     	7386
59     	7517
60     	7738
61     	7966
62     	7947
63     	7896
64     	7933
65     	7493
66     	7464
67     	7410
68     	7000
69     	7003
70     	6683
71     	6426
72     	6314
73     	6219
74     	6081
75     	5809
76     	5772
77     	5751
78     	5606
79     	5496
80     	5246
81     	5188
82     	5144
83     	5155
84     	4974
85     	4914
86     	4924
87     	4805
88     	4675
89     	4738
90     	4801
91     	4768
92     	4669
93     	4629
94     	4524
95     	4381
96     	4466
97     	4514
98     	4407
99     	4493
100    	4397
101    	4348
102    	4368
103    	4375
104    	4327
105    	4368
106    	4337
107    	4237
108    	4247
109    	4356
110    	4189
111    	4161
112    	4116
113    	4228
114    	4307
115    	4308
116    	4278
117    	4277
118    	4352
119    	4336
120    	4337
121    	4250
122    	4248
123    	4267
124    	4284
125    	4429
126    	4437
127    	4378
128    	4383
129    	4343
130    	4491
131    	4637
132    	4478
133    	4506
134    	4397
135    	4441
136    	4219
137    	4215
138    	4002
139    	3955
140    	3674
141    	3524
142    	3095
143    	2905
144    	2723
145    	2372
146    	2328
147    	2091
148    	1938
149    	1786
150    	1556
151    	1425
152    	1403
153    	1272
154    	1196
155    	1073
156    	1007
157    	1051
158    	951
159    	854
160    	806
161    	803
162    	804
163    	757
164    	719
165    	722
166    	679
167    	657
168    	577
169    	621
170    	619
171    	598
172    	604
173    	607
174    	576
175    	646
176    	622
177    	672
178    	661
179    	743
180    	766
181    	908
182    	1116
183    	1283
184    	1550
185    	1832
186    	2190
187    	2797
188    	3556
189    	4269
190    	5597
191    	6725
192    	8160
193    	9847
194    	11598
195    	13710
196    	15836
197    	17456
198    	19171
199    	20681
200    	21666
201    	22719
202    	22985
203    	22612
204    	21574
205    	20300
206    	18906
207    	16868
208    	14571
209    	12486
210    	10452
211    	8400
212    	6639
213    	4999
214    	3613
215    	2568
216    	1889
217    	1350
218    	875
219    	563
220    	374
221    	256
222    	131
223    	96
224    	79
225    	61
226    	51
227    	44
228    	43
229    	31
230    	45
231    	43
232    	39
233    	38
234    	34
235    	39
236    	33
237    	31
238    	43
239    	40
240    	30
241    	35
242    	38
243    	39
244    	38
245    	29
246    	44
247    	36
248    	33
249    	34
250    	37
251    	27
252    	34
253    	41
254    	32
255    	36
256    	29
257    	34
258    	29
259    	37
260    	34
261    	31
262    	27
263    	27
264    	29
265    	23
266    	31
267    	26
268    	23
269    	34
270    	15
271    	20
272    	32
273    	21
274    	23
275    	13
276    	27
277    	24
278    	34
279    	24
280    	27
281    	26
282    	28
283    	26
284    	23
285    	19
286    	28
287    	26
288    	25
289    	25
290    	24
291    	21
292    	18
293    	19
294    	26
295    	18
296    	26
297    	22
298    	23
299    	17
300    	24
