User      	: DESKTOP-BLOIBBU
File Name 	: -----
Real Time 	: 300 Sec
Live Time 	: 298.955 Sec
Dead Time 	: 1.045 Sec
Date      	: 18-09-2025
-------------------------------------------------------------------------------------------------

Channel	Counts
0      	0
1      	0
2      	0
3      	0
4      	827
5      	995
6      	1073
7      	1139
8      	1284
9      	1206
10     	1303
11     	1349
12     	1385
13     	1485
14     	1514
15     	1603
16     	1660
17     	1540
18     	1496
19     	1404
20     	1336
21     	1371
22     	1238
23     	1295
24     	1297
25     	1377
26     	1385
27     	1357
28     	1413
29     	1446
30     	1436
31     	1495
32     	1476
33     	1427
34     	1499
35     	1484
36     	1567
37     	1442
38     	1436
39     	1518
40     	1620
41     	1650
42     	1742
43     	1870
44     	1948
45     	2002
46     	2190
47     	2236
48     	2346
49     	2356
50     	2350
51     	2339
52     	2318
53     	2204
54     	2105
55     	2032
56     	1998
57     	2025
58     	1885
59     	1815
60     	1842
61     	1726
62     	1606
63     	1640
64     	1684
65     	1586
66     	1486
67     	1515
68     	1352
69     	1398
70     	1329
71     	1347
72     	1375
73     	1313
74     	1315
75     	1295
76     	1279
77     	1202
78     	1307
79     	1242
80     	1241
81     	1212
82     	1224
83     	1155
84     	1175
85     	1194
86     	1130
87     	1165
88     	1136
89     	1174
90     	1146
91     	1137
92     	1107
93     	1113
94     	1107
95     	1164
96     	1066
97     	1100
98     	1075
99     	1094
100    	1108
101    	1220
102    	1091
103    	1103
104    	1096
105    	1098
106    	1146
107    	1119
108    	1094
109    	1069
110    	1159
111    	1098
112    	1054
113    	1121
114    	1105
115    	1135
116    	1069
117    	1086
118    	1133
119    	1067
120    	1010
121    	1091
122    	1096
123    	1005
124    	999
125    	1006
126    	1029
127    	1034
128    	1066
129    	1071
130    	1036
131    	1053
132    	1107
133    	1080
134    	1083
135    	1088
136    	1042
137    	1067
138    	1038
139    	1097
140    	1027
141    	1058
142    	1057
143    	1144
144    	1108
145    	1092
146    	1103
147    	1128
148    	1060
149    	1092
150    	1062
151    	1061
152    	1157
153    	1048
154    	1180
155    	1133
156    	1113
157    	1133
158    	1151
159    	1139
160    	1066
161    	1216
162    	1119
163    	1145
164    	1189
165    	1155
166    	1156
167    	1159
168    	1196
169    	1201
170    	1200
171    	1181
172    	1238
173    	1246
174    	1263
175    	1249
176    	1238
177    	1275
178    	1258
179    	1230
180    	1252
181    	1319
182    	1368
183    	1350
184    	1356
185    	1375
186    	1306
187    	1316
188    	1318
189    	1383
190    	1309
191    	1291
192    	1310
193    	1298
194    	1339
195    	1286
196    	1216
197    	1181
198    	1156
199    	1115
200    	1104
201    	1075
202    	1002
203    	1026
204    	960
205    	961
206    	889
207    	917
208    	896
209    	944
210    	870
211    	850
212    	894
213    	841
214    	857
215    	846
216    	826
217    	881
218    	814
219    	850
220    	843
221    	806
222    	822
223    	779
224    	801
225    	783
226    	803
227    	746
228    	725
229    	750
230    	821
231    	818
232    	836
233    	940
234    	945
235    	1049
236    	1217
237    	1345
238    	1498
239    	1708
240    	1728
241    	2101
242    	2218
243    	2286
244    	2386
245    	2471
246    	2434
247    	2462
248    	2389
249    	2229
250    	2061
251    	1810
252    	1591
253    	1388
254    	1225
255    	968
256    	798
257    	613
258    	561
259    	450
260    	357
261    	387
262    	339
263    	374
264    	419
265    	528
266    	545
267    	608
268    	687
269    	846
270    	1000
271    	1161
272    	1267
273    	1380
274    	1565
275    	1712
276    	1715
277    	1753
278    	1956
279    	1942
280    	1857
281    	1800
282    	1663
283    	1609
284    	1429
285    	1267
286    	1124
287    	975
288    	799
289    	631
290    	503
291    	400
292    	311
293    	245
294    	172
295    	130
296    	92
297    	77
298    	61
299    	35
300    	37
301    	46
302    	36
303    	36
304    	30
305    	24
306    	26
307    	24
308    	31
309    	27
310    	23
311    	23
312    	34
313    	22
314    	25
315    	20
316    	34
317    	19
318    	17
319    	31
320    	18
321    	27
322    	17
323    	22
324    	23
325    	23
326    	22
327    	19
328    	22
329    	25
330    	28
331    	22
332    	23
333    	21
334    	19
335    	15
336    	22
337    	17
338    	18
339    	21
340    	26
341    	20
342    	22
343    	11
344    	14
345    	22
346    	27
347    	25
348    	14
349    	11
350    	10
351    	16
352    	18
353    	21
354    	15
355    	14
356    	17
357    	13
358    	13
359    	16
360    	13
361    	14
362    	12
363    	15
364    	13
365    	19
366    	13
367    	16
368    	15
369    	15
370    	17
371    	12
372    	19
373    	16
374    	15
375    	21
376    	12
377    	16
378    	12
379    	12
380    	11
381    	15
382    	16
383    	10
384    	14
385    	23
386    	19
387    	12
388    	22
389    	17
390    	16
391    	15
392    	9
393    	14
394    	13
395    	17
396    	22
397    	13
398    	16
399    	18
400    	16
401    	9
402    	10
403    	7
404    	12
405    	7
406    	9
407    	10
408    	14
409    	10
410    	9
411    	18
412    	6
413    	14
414    	12
415    	12
416    	12
417    	13
418    	11
419    	12
420    	11
421    	20
422    	13
423    	10
424    	15
425    	14
426    	4
427    	17
428    	13
429    	14
430    	8
431    	8
432    	11
433    	14
434    	11
435    	12
436    	7
437    	5
438    	11
439    	11
440    	13
441    	10
442    	16
443    	9
444    	12
445    	17
446    	8
447    	8
448    	9
449    	11
450    	6
451    	11
452    	12
453    	10
454    	8
455    	16
456    	15
457    	6
458    	7
459    	8
460    	14
461    	10
462    	8
463    	8
464    	10
465    	9
466    	9
467    	10
468    	9
469    	10
470    	12
471    	9
472    	6
473    	5
474    	12
475    	10
476    	11
477    	9
478    	9
479    	8
480    	2
481    	7
482    	6
483    	2
484    	7
485    	5
486    	4
487    	8
488    	6
489    	3
490    	4
491    	3
492    	5
493    	5
494    	2
495    	4
496    	3
497    	4
498    	3
499    	2
500    	5
501    	2
502    	3
503    	2
504    	3
505    	3
506    	3
507    	1
508    	2
509    	1
510    	4
511    	2
512    	6
513    	9
514    	8
515    	3
516    	11
517    	8
518    	6
519    	7
520    	10
521    	6
522    	5
523    	8
524    	7
525    	10
526    	9
527    	13
528    	5
529    	10
530    	8
531    	8
532    	12
533    	5
534    	6
535    	4
536    	5
537    	3
538    	5
539    	7
540    	6
541    	1
542    	4
543    	2
544    	0
545    	0
546    	3
547    	2
548    	2
549    	0
550    	2
551    	1
552    	1
553    	0
554    	0
555    	0
556    	0
557    	1
558    	0
559    	0
560    	0
561    	0
562    	0
563    	0
564    	1
565    	0
566    	0
567    	0
568    	0
569    	0
570    	1
571    	0
572    	0
573    	1
574    	0
575    	1
576    	0
577    	0
578    	0
579    	0
580    	0
581    	0
582    	0
583    	0
584    	0
585    	1
586    	0
587    	0
588    	0
589    	1
590    	0
591    	0
592    	0
593    	0
594    	1
595    	0
596    	0
597    	0
598    	0
599    	0
600    	0
601    	0
602    	0
603    	0
604    	0
605    	0
606    	0
607    	0
608    	0
609    	0
610    	0
611    	0
612    	0
613    	0
614    	0
615    	0
616    	0
617    	0
618    	0
619    	0
620    	0
621    	0
622    	0
623    	1
624    	0
625    	0
626    	1
627    	1
628    	0
629    	0
630    	0
631    	0
632    	0
633    	0
634    	0
635    	0
636    	0
637    	0
638    	0
639    	0
640    	0
641    	0
642    	0
643    	0
644    	0
645    	0
646    	0
647    	0
648    	0
649    	0
650    	0
651    	0
652    	0
653    	0
654    	0
655    	0
656    	0
657    	0
658    	0
659    	1
660    	0
661    	0
662    	0
663    	0
664    	0
665    	0
666    	0
667    	0
668    	0
669    	0
670    	1
671    	0
672    	0
673    	0
674    	0
675    	0
676    	0
677    	0
678    	0
679    	0
680    	0
681    	0
682    	0
683    	0
684    	0
685    	0
686    	0
687    	0
688    	0
689    	0
690    	0
691    	0
692    	0
693    	0
694    	0
695    	0
696    	0
697    	0
698    	0
699    	0
700    	0
701    	1
702    	0
703    	0
704    	0
705    	1
706    	0
707    	1
708    	0
709    	0
710    	0
711    	0
712    	0
713    	0
714    	0
715    	0
716    	0
717    	0
718    	0
719    	0
720    	0
721    	0
722    	0
723    	0
724    	0
725    	1
726    	0
727    	0
728    	0
729    	0
730    	0
731    	0
732    	0
733    	0
734    	0
735    	0
736    	0
737    	0
738    	0
739    	0
740    	0
741    	0
742    	0
743    	0
744    	0
745    	0
746    	0
747    	0
748    	0
749    	0
750    	0
751    	0
752    	0
753    	1
754    	0
755    	0
756    	0
757    	0
758    	1
759    	0
760    	0
761    	0
762    	0
763    	0
764    	0
765    	0
766    	0
767    	0
768    	0
769    	0
770    	0
771    	0
772    	0
773    	0
774    	0
775    	0
776    	0
777    	0
778    	0
779    	0
780    	0
781    	0
782    	0
783    	0
784    	0
785    	0
786    	0
787    	0
788    	0
789    	0
790    	0
791    	0
792    	0
793    	0
794    	0
795    	0
796    	0
797    	0
798    	0
799    	0
800    	0
801    	0
802    	0
803    	0
804    	0
805    	0
806    	0
807    	0
808    	0
809    	0
810    	0
811    	0
812    	0
813    	0
814    	0
815    	0
816    	0
817    	0
818    	0
819    	0
820    	0
821    	0
822    	0
823    	0
824    	0
825    	0
826    	0
827    	0
828    	0
829    	0
830    	0
831    	0
832    	0
833    	0
834    	0
835    	0
836    	0
837    	0
838    	0
839    	0
840    	0
841    	0
842    	0
843    	0
844    	0
845    	0
846    	0
847    	0
848    	0
849    	0
850    	0
851    	0
852    	0
853    	0
854    	0
855    	0
856    	0
857    	0
858    	0
859    	0
860    	0
861    	0
862    	0
863    	0
864    	0
865    	0
866    	0
867    	0
868    	0
869    	0
870    	1
871    	0
872    	0
873    	0
874    	0
875    	0
876    	0
877    	0
878    	0
879    	0
880    	0
881    	0
882    	0
883    	0
884    	0
885    	0
886    	0
887    	0
888    	0
889    	0
890    	0
891    	0
892    	0
893    	0
894    	0
895    	0
896    	0
897    	0
898    	0
899    	0
900    	0
901    	0
902    	0
903    	0
904    	0
905    	0
906    	0
907    	0
908    	0
909    	0
910    	0
911    	0
912    	0
913    	0
914    	0
915    	1
916    	0
917    	0
918    	0
919    	0
920    	0
921    	0
922    	0
923    	0
924    	1
925    	0
926    	0
927    	0
928    	0
929    	2
930    	0
931    	0
932    	0
933    	0
934    	0
935    	0
936    	0
937    	0
938    	0
939    	0
940    	0
941    	0
942    	0
943    	0
944    	0
945    	0
946    	0
947    	0
948    	0
949    	0
950    	0
951    	0
952    	0
953    	0
954    	0
955    	0
956    	0
957    	0
958    	0
959    	0
960    	0
961    	0
962    	0
963    	0
964    	0
965    	0
966    	0
967    	0
968    	0
969    	0
970    	0
971    	0
972    	0
973    	0
974    	0
975    	0
976    	0
